instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
25,02/01/2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17.00
26,02/01/2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17.00
27,02/01/2011,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9.00
28,02/01/2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6.00
29,02/01/2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3.00
30,02/01/2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2.00
31,02/01/2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1.00
32,02/01/2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8.00
33,02/01/2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20.00
34,02/01/2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53.00
35,02/01/2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70.00
36,02/01/2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93.00
37,02/01/2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75.00
38,02/01/2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59.00
39,02/01/2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74.00
40,02/01/2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76.00
41,02/01/2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65.00
42,02/01/2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53.00
43,02/01/2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30.00
44,02/01/2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22.00
45,02/01/2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31.00
46,02/01/2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9.00
47,02/01/2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8.00
48,03/01/2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5.00
49,03/01/2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2.00
50,03/01/2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1.00
51,03/01/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3.00
52,03/01/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30.00
53,03/01/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64.00
54,03/01/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154.00
55,03/01/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88.00
56,03/01/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44.00
57,03/01/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51.00
58,03/01/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61.00
59,03/01/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61.00
60,03/01/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77.00
61,03/01/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72.00
62,03/01/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76.00
63,03/01/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157.00
64,03/01/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157.00
65,03/01/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110.00
66,03/01/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52.00
67,03/01/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52.00
68,03/01/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20.00
69,03/01/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12.00
70,04/01/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5.00
71,04/01/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2.00
72,04/01/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1.00
73,04/01/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2.00
74,04/01/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4.00
75,04/01/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36.00
76,04/01/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94.00
77,04/01/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179.00
78,04/01/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100.00
79,04/01/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42.00
80,04/01/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57.00
81,04/01/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78.00
82,04/01/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97.00
83,04/01/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63.00
84,04/01/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65.00
85,04/01/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83.00
86,04/01/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212.00
87,04/01/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182.00
88,04/01/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112.00
89,04/01/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54.00
90,04/01/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48.00
91,04/01/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35.00
92,04/01/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11.00
93,05/01/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6.00
94,05/01/2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6.00
95,05/01/2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2.00
96,05/01/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2.00
97,05/01/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3.00
98,05/01/2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33.00
99,05/01/2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88.00
100,05/01/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195.00
101,05/01/2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115.00
102,05/01/2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57.00
103,05/01/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46.00
104,05/01/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79.00
105,05/01/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71.00
106,05/01/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62.00
107,05/01/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62.00
108,05/01/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89.00
109,05/01/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190.00
110,05/01/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169.00
111,05/01/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132.00
112,05/01/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89.00
113,05/01/2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43.00
114,05/01/2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42.00
115,05/01/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19.00
116,06/01/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11.00
117,06/01/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4.00
118,06/01/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2.00
119,06/01/2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1.00
120,06/01/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4.00
121,06/01/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36.00
122,06/01/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95.00
123,06/01/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219.00
124,06/01/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122.00
125,06/01/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45.00
126,06/01/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59.00
127,06/01/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84.00
128,06/01/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67.00
129,06/01/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70.00
130,06/01/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62.00
131,06/01/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86.00
132,06/01/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172.00
133,06/01/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163.00
134,06/01/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112.00
135,06/01/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69.00
136,06/01/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48.00
137,06/01/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52.00
138,06/01/2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23.00
139,07/01/2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17.00
140,07/01/2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7.00
141,07/01/2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1.00
142,07/01/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1.00
143,07/01/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5.00
144,07/01/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34.00
145,07/01/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84.00
146,07/01/2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210.00
147,07/01/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134.00
148,07/01/2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63.00
149,07/01/2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67.00
150,07/01/2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59.00
151,07/01/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73.00
152,07/01/2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50.00
153,07/01/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72.00
154,07/01/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87.00
155,07/01/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187.00
156,07/01/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123.00
157,07/01/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95.00
158,07/01/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51.00
159,07/01/2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39.00
160,07/01/2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36.00
161,07/01/2011,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15.00
162,08/01/2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25.00
163,08/01/2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16.00
164,08/01/2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16.00
165,08/01/2011,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7.00
166,08/01/2011,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1.00
167,08/01/2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5.00
168,08/01/2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2.00
169,08/01/2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9.00
170,08/01/2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15.00
171,08/01/2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20.00
172,08/01/2011,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61.00
173,08/01/2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62.00
174,08/01/2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98.00
175,08/01/2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102.00
176,08/01/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95.00
177,08/01/2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74.00
178,08/01/2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76.00
179,08/01/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69.00
180,08/01/2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55.00
181,08/01/2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30.00
182,08/01/2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28.00
183,08/01/2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37.00
184,08/01/2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34.00
185,08/01/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22.00
186,09/01/2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25.00
187,09/01/2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12.00
188,09/01/2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11.00
189,09/01/2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4.00
190,09/01/2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1.00
191,09/01/2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1.00
192,09/01/2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1.00
193,09/01/2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6.00
194,09/01/2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10.00
195,09/01/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19.00
196,09/01/2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49.00
197,09/01/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49.00
198,09/01/2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83.00
199,09/01/2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75.00
200,09/01/2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72.00
201,09/01/2011,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82.00
202,09/01/2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92.00
203,09/01/2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62.00
204,09/01/2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48.00
205,09/01/2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41.00
206,09/01/2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38.00
207,09/01/2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20.00
208,09/01/2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15.00
209,09/01/2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6.00
210,10/01/2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5.00
211,10/01/2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1.00
212,10/01/2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3.00
213,10/01/2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1.00
214,10/01/2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3.00
215,10/01/2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3.00
216,10/01/2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31.00
217,10/01/2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77.00
218,10/01/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188.00
219,10/01/2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94.00
220,10/01/2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31.00
221,10/01/2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30.00
222,10/01/2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52.00
223,10/01/2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54.00
224,10/01/2011,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47.00
225,10/01/2011,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45.00
226,10/01/2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74.00
227,10/01/2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178.00
228,10/01/2011,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155.00
229,10/01/2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95.00
230,10/01/2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74.00
231,10/01/2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38.00
232,10/01/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24.00
233,10/01/2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18.00
234,11/01/2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12.00
235,11/01/2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3.00
236,11/01/2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3.00
237,11/01/2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6.00
238,11/01/2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27.00
239,11/01/2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99.00
240,11/01/2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217.00
241,11/01/2011,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130.00
242,11/01/2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54.00
243,11/01/2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35.00
244,11/01/2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57.00
245,11/01/2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52.00
246,11/01/2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63.00
247,11/01/2011,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47.00
248,11/01/2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76.00
249,11/01/2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136.00
250,11/01/2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95.00
251,11/01/2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51.00
252,11/01/2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32.00
253,11/01/2011,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20.00
254,11/01/2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29.00
255,11/01/2011,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19.00
256,12/01/2011,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7.00
257,12/01/2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6.00
258,12/01/2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1.00
259,12/01/2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5.00
260,12/01/2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16.00
261,12/01/2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54.00
262,12/01/2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128.00
263,12/01/2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81.00
264,12/01/2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39.00
265,12/01/2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35.00
266,12/01/2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55.00
267,12/01/2011,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49.00
268,12/01/2011,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44.00
269,12/01/2011,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49.00
270,12/01/2011,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68.00
271,12/01/2011,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139.00
272,12/01/2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137.00
273,12/01/2011,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83.00
274,12/01/2011,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56.00
275,12/01/2011,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57.00
